capital,uf,estado,regiao,latitude,longitude,fonte,link_fonte
Rio Branco,AC,Acre,Norte,-9.97499,-67.8243,IBGE - Localidades do Brasil / Censo Demográfico 2022,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
Maceió,AL,Alagoas,Nordeste,-9.66599,-35.735,IBGE - Localidades do Brasil / Censo Demográfico 2022,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
Macapá,AP,Amapá,Norte,0.03493,-51.0694,IBGE - Localidades do Brasil / Censo Demográfico 2022,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
Manaus,AM,Amazonas,Norte,-3.11866,-60.0212,IBGE - Localidades do Brasil / Censo Demográfico 2022,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
Salvador,BA,Bahia,Nordeste,-12.9714,-38.5014,IBGE - Localidades do Brasil / Censo Demográfico 2022,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
Fortaleza,CE,Ceará,Nordeste,-3.73186,-38.5267,IBGE - Localidades do Brasil / Censo Demográfico 2022,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
Brasília,DF,Distrito Federal,Centro-Oeste,-15.7939,-47.8828,IBGE - Localidades do Brasil / Censo Demográfico 2022,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
Vitória,ES,Espírito Santo,Sudeste,-20.3155,-40.3128,IBGE - Localidades do Brasil / Censo Demográfico 2022,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
Goiânia,GO,Goiás,Centro-Oeste,-16.6864,-49.2643,IBGE - Localidades do Brasil / Censo Demográfico 2022,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
São Luís,MA,Maranhão,Nordeste,-2.53073,-44.3068,IBGE - Localidades do Brasil / Censo Demográfico 2022,https://www.ibge.gov.br/geociencias/organizacao-do-territorio/estrutura-territorial/27385-localidades.html
